Retailer Name,Retailer ID,Invoice Date,Region,State,District,Product,Price per Unit (INR),Units Sold,Total Sales (INR),Operating Profit (INR),Sales Method
Best Fashion Store,92496,6/2/2018,South,Karnataka,Mysore,Heels,3904,58,226432,52572.53988,Online
Reliable Step Place,20641,10/30/2019,West,Maharashtra,Nagpur,Formal Shoes,1872,85,159120,30660.21138,Online
Prime Style Hub,66818,4/18/2018,South,Karnataka,Hubli,Heels,4028,72,290016,68136.70706,Online
Urban Trend Place,35234,5/22/2018,East,West Bengal,Darjeeling,Heels,4134,92,380328,76715.44033,Offline
Exclusive Journey Hub,59580,6/1/2020,West,Maharashtra,Mumbai,Heels,2795,7,19565,5305.269488,Online
Exclusive Footwear Boutique,22382,12/17/2020,South,Tamil Nadu,Coimbatore,Sandals,4731,84,397404,67721.32428,Online
Exclusive Footwear Boutique,22382,2/18/2022,South,Karnataka,Mysore,Heels,2524,61,153964,39962.24115,Online
Best Fashion Store,92496,3/3/2020,North,Punjab,Ludhiana,Sandals,3592,93,334056,96802.46136,Offline
Top Fashion Mart,42268,11/13/2021,North,Punjab,Ludhiana,Sneakers,1414,31,43834,8454.200223,Online
Best Fashion Company,45328,9/4/2020,North,Punjab,Ludhiana,Sneakers,4578,22,100716,21344.68862,Online
Quality Trend Co,68801,12/5/2022,South,Tamil Nadu,Chennai,Boots,3031,57,172767,45307.22626,Online
Fresh Step Emporium,75859,10/13/2022,East,West Bengal,Howrah,Heels,870,70,60900,15486.52865,Online
Reliable Run Place,38827,2/10/2020,North,Punjab,Ludhiana,Heels,3675,44,161700,29988.0911,Offline
Prime Step Store,95425,6/2/2022,South,Tamil Nadu,Chennai,Sandals,628,43,27004,7439.464383,Online
Prime Walk Boutique,83635,7/16/2019,West,Maharashtra,Nagpur,Sandals,2154,99,213246,28846.27517,Offline
Exclusive Fashion Hub,32618,11/15/2023,South,Tamil Nadu,Madurai,Boots,1179,80,94320,27188.20892,Offline
Reliable Journey Store,89527,9/26/2018,South,Karnataka,Hubli,Sandals,2624,94,246656,62098.86117,Online
Quality Walk Outlet,22827,3/25/2023,South,Tamil Nadu,Coimbatore,Sneakers,4904,91,446264,63145.4344,Online
Urban Trend Outlet,68365,8/20/2022,East,West Bengal,Darjeeling,Formal Shoes,1782,35,62370,11562.47244,Online
Top Trend Place,74681,6/12/2023,North,Punjab,Jalandhar,Heels,1730,14,24220,6541.798248,Offline
Best Step Co,89317,6/4/2021,South,Karnataka,Mysore,Boots,3786,96,363456,105266.5556,Offline
New Fashion Mart,17319,10/4/2021,North,Punjab,Jalandhar,Sneakers,1343,63,84609,24158.63976,Offline
Exclusive Fashion Company,17588,8/18/2019,West,Maharashtra,Pune,Sneakers,3725,68,253300,35495.31992,Offline
Reliable Run Boutique,51945,11/16/2020,East,West Bengal,Kolkata,Sneakers,4826,9,43434,8295.888164,Offline
Top Shoe Store,84985,1/22/2019,West,Maharashtra,Pune,Sandals,3132,81,253692,66524.89554,Offline
Great Fashion Hub,10423,3/8/2022,West,Maharashtra,Pune,Sneakers,1215,34,41310,6558.51174,Online
New Style Company,34462,2/17/2021,North,Punjab,Ludhiana,Boots,3085,96,296160,53116.55639,Offline
Quality Trend Co,68801,4/10/2023,West,Maharashtra,Mumbai,Sneakers,4309,13,56017,12097.22372,Offline
Top Footwear Co,33817,3/29/2020,South,Tamil Nadu,Madurai,Formal Shoes,1535,7,10745,3123.02795,Online
Exclusive Trend Boutique,36180,11/18/2022,South,Tamil Nadu,Coimbatore,Formal Shoes,1358,52,70616,18061.88794,Offline
Best Path Store,35884,2/6/2018,South,Tamil Nadu,Madurai,Heels,4170,67,279390,36262.91401,Offline
Urban Path Mart,62341,7/27/2018,South,Tamil Nadu,Chennai,Sandals,3038,17,51646,11482.35891,Offline
Prime Walk Outlet,84698,8/15/2022,North,Punjab,Ludhiana,Sneakers,4307,59,254113,59859.20455,Offline
Prime Shoe Company,19149,7/3/2020,South,Karnataka,Bengaluru,Sandals,2425,29,70325,13851.07565,Online
New Journey Co,19451,12/11/2018,East,West Bengal,Kolkata,Sneakers,2303,45,103635,16858.01987,Online
Exclusive Shoe Place,46628,11/6/2022,West,Maharashtra,Nagpur,Boots,4450,31,137950,34933.33657,Offline
Top Fashion Outlet,39127,4/2/2020,South,Tamil Nadu,Madurai,Sneakers,3279,13,42627,10576.18614,Online
Urban Walk Place,23524,5/3/2023,West,Maharashtra,Nagpur,Sneakers,1899,54,102546,20511.54038,Offline
Reliable Fashion Boutique,44304,11/25/2019,East,West Bengal,Darjeeling,Formal Shoes,3242,1,3242,804.092903,Online
Exclusive Style Hub,77676,11/8/2019,South,Karnataka,Hubli,Sandals,1683,88,148104,19360.59578,Offline
Quality Walk Outlet,22827,10/29/2020,East,West Bengal,Howrah,Boots,3024,45,136080,23587.16459,Offline
Fresh Step Emporium,75859,9/28/2021,East,West Bengal,Kolkata,Boots,4148,97,402356,102897.8587,Online
Urban Fashion Co,27359,6/27/2021,South,Karnataka,Hubli,Sandals,961,94,90334,15505.08501,Online
New Style Company,34462,2/25/2018,South,Karnataka,Hubli,Heels,4112,64,263168,63498.26335,Offline
Urban Style Store,30361,1/29/2019,South,Tamil Nadu,Coimbatore,Sneakers,1875,92,172500,32910.44954,Online
Quality Trend Co,68801,9/24/2022,North,Punjab,Jalandhar,Sandals,3479,40,139160,38331.71535,Online
Exclusive Walk Company,80530,1/23/2020,West,Maharashtra,Mumbai,Sneakers,4786,74,354164,90661.62188,Online
Reliable Shoe Company,33198,10/13/2018,East,West Bengal,Kolkata,Boots,4947,20,98940,21106.34883,Online
Great Path Outlet,68821,4/21/2022,South,Karnataka,Mysore,Boots,4032,79,318528,76597.11723,Online
Quality Path Boutique,38392,4/3/2019,South,Tamil Nadu,Coimbatore,Boots,2853,68,194004,47813.92468,Online
Exclusive Footwear Boutique,22382,12/8/2019,West,Maharashtra,Nagpur,Formal Shoes,4975,19,94525,20390.47839,Online
Fresh Path Company,53667,4/29/2018,South,Tamil Nadu,Coimbatore,Sandals,1125,20,22500,5012.471695,Offline
Great Journey Outlet,64642,7/25/2020,West,Maharashtra,Pune,Formal Shoes,1202,90,108180,22918.72808,Online
Exclusive Fashion Place,59844,4/22/2021,West,Maharashtra,Pune,Formal Shoes,1208,43,51944,8626.726301,Offline
Great Fashion Co,29437,10/7/2018,South,Tamil Nadu,Coimbatore,Formal Shoes,4273,47,200831,46034.51116,Online
Great Fashion Emporium,56499,6/29/2023,South,Karnataka,Hubli,Boots,737,80,58960,11101.41486,Online
Top Run Store,99097,9/6/2020,South,Tamil Nadu,Madurai,Sandals,3449,38,131062,14485.59579,Online
Fresh Footwear Emporium,69166,8/26/2019,South,Tamil Nadu,Madurai,Heels,4691,46,215786,56682.47469,Online
Great Path Hub,98938,8/31/2018,North,Punjab,Ludhiana,Sandals,1629,4,6516,1878.156709,Online
New Style Company,34462,8/15/2022,South,Karnataka,Mysore,Heels,3562,91,324142,51687.83378,Offline
New Footwear Co,23352,7/10/2018,South,Karnataka,Hubli,Boots,1130,92,103960,24845.57422,Offline
Quality Walk Hub,34891,4/2/2018,East,West Bengal,Kolkata,Formal Shoes,3859,39,150501,26478.97623,Online
Best Path Emporium,40826,8/12/2022,South,Karnataka,Bengaluru,Formal Shoes,4598,13,59774,8988.106972,Online
New Style Store,27780,2/16/2019,North,Punjab,Jalandhar,Boots,3929,19,74651,14165.48936,Offline
Great Fashion Emporium,56499,11/20/2019,North,Punjab,Amritsar,Heels,2622,38,99636,11512.73914,Offline
Reliable Walk Boutique,25626,3/30/2020,North,Punjab,Amritsar,Heels,738,42,30996,9204.180003,Online
Prime Shoe Place,51233,9/17/2020,North,Punjab,Ludhiana,Sneakers,1704,11,18744,4044.156467,Offline
Best Fashion Store,92496,7/4/2020,South,Karnataka,Mysore,Heels,4764,50,238200,61548.12391,Online
Best Walk Emporium,60336,12/8/2019,North,Punjab,Amritsar,Boots,2155,27,58185,16957.63305,Online
Top Fashion Mart,42268,3/2/2019,East,West Bengal,Darjeeling,Boots,1188,91,108108,30818.47524,Online
Fresh Path Boutique,34092,9/30/2021,West,Maharashtra,Nagpur,Heels,1377,53,72981,17256.68586,Online
Prime Step Company,17492,5/3/2018,North,Punjab,Ludhiana,Formal Shoes,760,12,9120,912.8558022,Online
Quality Shoe Boutique,73363,5/26/2021,South,Tamil Nadu,Madurai,Heels,546,87,47502,4836.761625,Online
Great Journey Outlet,64642,8/14/2020,North,Punjab,Ludhiana,Sandals,3313,1,3313,699.7457007,Online
Quality Walk Outlet,22827,3/25/2021,South,Karnataka,Hubli,Sneakers,1821,91,165711,45001.65512,Online
New Step Hub,12630,2/11/2022,East,West Bengal,Darjeeling,Heels,689,37,25493,4213.728107,Offline
Great Journey Company,64864,10/12/2021,West,Maharashtra,Pune,Formal Shoes,4981,95,473195,47330.39382,Online
Top Run Store,99097,6/27/2018,South,Tamil Nadu,Coimbatore,Sandals,4708,11,51788,6757.216718,Offline
Best Walk Hub,25862,1/17/2019,South,Karnataka,Mysore,Sandals,3612,10,36120,3973.404581,Online
Quality Step Outlet,73022,5/6/2022,South,Tamil Nadu,Madurai,Boots,2897,39,112983,29159.15048,Offline
Prime Run Emporium,14287,2/15/2020,South,Tamil Nadu,Coimbatore,Sneakers,660,65,42900,8744.106277,Online
Quality Run Hub,34784,10/11/2023,West,Maharashtra,Nagpur,Boots,1581,90,142290,26182.60275,Online
Urban Journey Outlet,93467,11/22/2020,South,Karnataka,Bengaluru,Sneakers,4066,38,154508,22180.65068,Online
Quality Run Hub,34784,1/24/2020,South,Karnataka,Hubli,Heels,3697,27,99819,22555.213,Online
Quality Footwear Emporium,84613,11/26/2018,East,West Bengal,Darjeeling,Formal Shoes,4898,65,318370,95248.12779,Offline
Exclusive Run Mart,22489,4/21/2018,South,Tamil Nadu,Chennai,Sneakers,4124,20,82480,15929.99854,Offline
New Step Outlet,56788,1/16/2021,South,Tamil Nadu,Coimbatore,Sandals,3584,74,265216,59454.22199,Online
Prime Run Co,20463,10/14/2021,West,Maharashtra,Pune,Boots,2574,23,59202,10472.10964,Online
Great Journey Company,64864,9/25/2018,South,Karnataka,Bengaluru,Heels,4636,41,190076,35614.57601,Online
Prime Step Store,95425,3/24/2022,West,Maharashtra,Nagpur,Sandals,3939,6,23634,4295.092449,Offline
Urban Trend Outlet,68365,8/4/2021,South,Karnataka,Bengaluru,Heels,4963,35,173705,50456.976,Offline
New Style Company,34462,12/30/2019,North,Punjab,Ludhiana,Sandals,1894,27,51138,14220.50926,Offline
Exclusive Step Company,80745,1/25/2020,East,West Bengal,Kolkata,Sandals,2547,11,28017,4474.553599,Offline
Fresh Shoe Company,92129,8/26/2020,South,Karnataka,Hubli,Heels,2655,56,148680,36311.27784,Online
Reliable Shoe Co,28024,7/16/2019,South,Karnataka,Hubli,Heels,2096,77,161392,28576.39249,Online
Exclusive Step Company,80745,3/4/2021,East,West Bengal,Howrah,Boots,2971,65,193115,32537.51971,Online
Best Step Emporium,74025,7/28/2019,West,Maharashtra,Mumbai,Heels,3892,31,120652,28518.19705,Offline
Top Journey Mart,54005,8/12/2023,West,Maharashtra,Mumbai,Boots,4066,6,24396,5809.334884,Online
Best Walk Hub,25862,4/25/2020,South,Tamil Nadu,Madurai,Formal Shoes,781,15,11715,1894.201351,Online
Fresh Step Co,32221,6/11/2019,South,Karnataka,Mysore,Formal Shoes,3466,12,41592,5051.926419,Online
Great Journey Hub,81645,1/24/2019,East,West Bengal,Kolkata,Heels,4743,44,208692,42248.9002,Online
Exclusive Fashion Company,17588,4/6/2021,South,Tamil Nadu,Chennai,Formal Shoes,1330,14,18620,5273.735566,Offline
Fresh Step Emporium,75859,2/22/2021,North,Punjab,Jalandhar,Sandals,2033,72,146376,33324.18757,Online
New Footwear Outlet,53960,9/1/2023,East,West Bengal,Howrah,Sneakers,1503,48,72144,15544.51511,Offline
Best Fashion Emporium,82971,3/6/2020,North,Punjab,Amritsar,Sneakers,943,7,6601,793.285786,Offline
Reliable Run Co,30549,7/29/2022,West,Maharashtra,Pune,Boots,4269,82,350058,101553.7118,Online
Prime Style Hub,66818,4/29/2020,South,Karnataka,Hubli,Formal Shoes,4014,62,248868,46177.46795,Offline
Urban Shoe Place,48908,5/22/2023,South,Tamil Nadu,Chennai,Formal Shoes,2913,16,46608,13472.70988,Offline
New Journey Outlet,40578,10/30/2019,West,Maharashtra,Mumbai,Boots,4273,81,346113,35540.15371,Online
New Style Company,34462,2/20/2019,East,West Bengal,Darjeeling,Formal Shoes,1174,81,95094,12788.57816,Online
Quality Run Hub,34784,3/31/2021,South,Tamil Nadu,Chennai,Boots,4665,47,219255,57952.3394,Online
Prime Shoe Company,19149,4/17/2023,East,West Bengal,Kolkata,Boots,884,5,4420,1300.270503,Offline
Exclusive Fashion Company,17588,9/26/2018,West,Maharashtra,Pune,Sneakers,2824,81,228744,65961.67164,Offline
Quality Journey Hub,81928,5/16/2020,South,Tamil Nadu,Coimbatore,Heels,2580,74,190920,30691.20765,Offline
New Path Store,64747,11/6/2021,East,West Bengal,Darjeeling,Heels,3185,67,213395,42593.52623,Offline
Prime Footwear Place,21941,8/8/2019,South,Karnataka,Bengaluru,Heels,4225,84,354900,70064.9788,Offline
Best Fashion Store,92496,6/10/2021,West,Maharashtra,Nagpur,Formal Shoes,3642,90,327780,75087.91174,Online
Top Journey Store,45327,4/10/2023,South,Karnataka,Hubli,Boots,4480,65,291200,79644.15206,Online
Reliable Step Place,20641,3/5/2018,East,West Bengal,Darjeeling,Sandals,1442,43,62006,9275.185216,Offline
New Path Store,64747,5/21/2021,South,Karnataka,Mysore,Sneakers,2417,92,222364,39350.91127,Offline
Quality Style Hub,41615,3/13/2018,North,Punjab,Amritsar,Heels,1470,75,110250,20536.2313,Online
Top Fashion Hub,87249,3/21/2023,South,Karnataka,Bengaluru,Boots,4358,34,148172,32142.99005,Offline
Exclusive Fashion Company,17588,10/12/2019,North,Punjab,Amritsar,Sandals,720,59,42480,6146.777382,Online
New Footwear Outlet,53960,5/22/2018,West,Maharashtra,Mumbai,Boots,4135,59,243965,39178.10537,Online
Top Journey Store,45327,12/23/2022,South,Tamil Nadu,Coimbatore,Sandals,3220,12,38640,8670.207623,Online
Reliable Path Store,58471,6/9/2018,South,Karnataka,Hubli,Heels,3435,27,92745,27244.08901,Offline
Exclusive Step Company,80745,2/9/2019,South,Karnataka,Bengaluru,Sandals,4894,4,19576,2497.437843,Offline
Reliable Style Boutique,71882,5/19/2023,North,Punjab,Jalandhar,Sandals,2029,68,137972,16556.50894,Offline
Reliable Step Place,20641,4/6/2021,East,West Bengal,Kolkata,Sneakers,2688,28,75264,21157.01455,Online
Quality Step Outlet,73022,1/30/2018,South,Tamil Nadu,Coimbatore,Sandals,1139,12,13668,1953.352228,Online
Top Fashion Emporium,86111,6/18/2020,East,West Bengal,Howrah,Heels,4036,77,310772,43047.74956,Offline
Great Run Store,43888,4/5/2023,South,Karnataka,Mysore,Boots,822,45,36990,8206.000328,Online
New Style Mart,40094,7/3/2022,South,Tamil Nadu,Madurai,Sneakers,2531,8,20248,3492.112125,Offline
Reliable Trend Outlet,49326,12/3/2022,South,Karnataka,Hubli,Boots,780,15,11700,3258.811627,Online
Great Shoe Co,39528,12/3/2022,South,Karnataka,Bengaluru,Boots,3051,1,3051,357.4432986,Offline
Top Fashion Outlet,39127,6/25/2018,East,West Bengal,Kolkata,Formal Shoes,1140,97,110580,22859.84946,Offline
Prime Shoe Emporium,81135,2/17/2021,North,Punjab,Jalandhar,Heels,1449,10,14490,3935.600402,Offline
Great Shoe Place,99115,3/19/2022,West,Maharashtra,Mumbai,Sandals,1894,90,170460,36634.10372,Online
Quality Shoe Place,38042,5/3/2019,North,Punjab,Amritsar,Formal Shoes,4577,98,448546,98290.2385,Online
Exclusive Shoe Emporium,69193,8/22/2020,East,West Bengal,Kolkata,Heels,621,32,19872,2860.018842,Online
New Step Mart,44273,11/29/2023,North,Punjab,Amritsar,Sneakers,2966,47,139402,32131.48754,Offline
Great Run Store,43888,12/8/2022,East,West Bengal,Darjeeling,Sandals,1835,10,18350,4167.889114,Online
Reliable Shoe Place,73287,10/5/2023,North,Punjab,Jalandhar,Sneakers,2840,94,266960,73061.48634,Online
Top Footwear Co,33817,2/22/2020,South,Karnataka,Bengaluru,Formal Shoes,2876,2,5752,1211.978527,Online
Reliable Walk Place,14387,9/22/2020,East,West Bengal,Kolkata,Sneakers,1873,91,170443,23169.39753,Online
Reliable Style Boutique,71882,1/17/2020,East,West Bengal,Howrah,Sneakers,3536,69,243984,65675.69759,Online
Quality Footwear Emporium,84613,12/4/2020,West,Maharashtra,Nagpur,Sneakers,1348,47,63356,7722.527474,Offline
Great Fashion Co,29437,8/10/2021,West,Maharashtra,Pune,Heels,3494,67,234098,36378.90345,Online
Top Run Store,99097,11/3/2020,East,West Bengal,Kolkata,Formal Shoes,1436,32,45952,8686.664025,Online
Great Run Outlet,21965,10/3/2022,South,Tamil Nadu,Chennai,Sneakers,4560,50,228000,62021.71561,Online
Exclusive Footwear Boutique,22382,3/12/2020,North,Punjab,Ludhiana,Formal Shoes,2965,59,174935,31004.15875,Offline
Prime Fashion Outlet,76367,7/30/2020,South,Karnataka,Hubli,Sneakers,1609,36,57924,15100.4351,Online
Fresh Fashion Emporium,91413,8/24/2020,East,West Bengal,Kolkata,Sneakers,1373,45,61785,10359.94742,Offline
New Style Mart,40094,6/2/2021,South,Karnataka,Mysore,Formal Shoes,1720,16,27520,5138.443189,Online
Reliable Walk Place,14387,7/18/2022,South,Karnataka,Bengaluru,Sneakers,1654,64,105856,20915.52222,Online
Great Walk Mart,82118,11/4/2018,East,West Bengal,Darjeeling,Sneakers,1562,84,131208,24238.86296,Offline
Fresh Path Company,53667,9/15/2021,South,Tamil Nadu,Coimbatore,Boots,4996,80,399680,56153.28847,Offline
Prime Fashion Outlet,76367,6/23/2018,South,Karnataka,Bengaluru,Sneakers,3139,4,12556,1967.325361,Online
Top Footwear Place,80001,10/15/2018,West,Maharashtra,Nagpur,Sandals,1741,76,132316,16703.89337,Offline
Reliable Walk Place,14387,1/13/2018,South,Karnataka,Mysore,Heels,2946,67,197382,29489.20257,Online
Fresh Style Boutique,48028,6/21/2020,North,Punjab,Amritsar,Sneakers,534,7,3738,1046.026291,Offline
New Footwear Co,23352,8/6/2022,South,Karnataka,Bengaluru,Formal Shoes,2084,47,97948,12557.63529,Offline
Top Footwear Place,80001,10/8/2018,East,West Bengal,Darjeeling,Sandals,3545,38,134710,22292.7063,Online
New Shoe Mart,10980,12/8/2019,North,Punjab,Jalandhar,Formal Shoes,958,9,8622,2470.555965,Offline
Quality Journey Mart,98714,8/15/2022,West,Maharashtra,Mumbai,Heels,2447,6,14682,2931.331271,Online
Exclusive Shoe Emporium,69193,7/3/2022,South,Karnataka,Mysore,Sneakers,3334,18,60012,9571.678595,Offline
New Run Place,24711,7/14/2019,West,Maharashtra,Pune,Sandals,2002,33,66066,18730.73344,Offline
Top Shoe Store,84985,1/11/2023,South,Tamil Nadu,Madurai,Formal Shoes,1715,85,145775,30042.2285,Offline
Urban Fashion Store,66946,6/8/2020,North,Punjab,Ludhiana,Formal Shoes,4632,11,50952,14056.47045,Online
Fresh Path Mart,30299,3/22/2018,North,Punjab,Ludhiana,Sandals,3817,96,366432,79451.0686,Offline
Fresh Path Company,53667,4/14/2020,East,West Bengal,Kolkata,Heels,3952,95,375440,87939.2509,Online
Top Footwear Company,82005,11/22/2023,West,Maharashtra,Pune,Sneakers,608,38,23104,5611.486123,Online
Quality Footwear Emporium,84613,4/12/2019,South,Karnataka,Hubli,Sandals,4346,64,278144,69649.58543,Offline
Quality Walk Store,22162,7/19/2020,North,Punjab,Amritsar,Sandals,1791,72,128952,36328.22525,Offline
Fresh Journey Place,36243,3/14/2022,North,Punjab,Ludhiana,Heels,1473,70,103110,19727.7296,Offline
New Shoe Mart,10980,5/2/2020,East,West Bengal,Howrah,Heels,3078,56,172368,34443.93732,Online
Best Shoe Outlet,21625,3/9/2023,North,Punjab,Ludhiana,Heels,4901,29,142129,37051.58682,Online
Great Journey Company,64864,1/18/2022,South,Tamil Nadu,Coimbatore,Heels,682,44,30008,4926.500564,Online
Great Step Place,42978,6/7/2021,South,Karnataka,Mysore,Heels,2289,48,109872,25772.68121,Offline
Prime Shoe Place,51233,5/2/2020,South,Tamil Nadu,Madurai,Formal Shoes,2905,56,162680,48433.46442,Online
Urban Style Place,37451,10/1/2020,East,West Bengal,Darjeeling,Boots,3747,17,63699,10658.90566,Online
Top Trend Place,74681,1/16/2018,South,Karnataka,Bengaluru,Sandals,1742,16,27872,7721.439672,Online
Urban Style Company,36146,9/19/2018,South,Karnataka,Bengaluru,Boots,1971,88,173448,36304.11784,Online
Exclusive Journey Hub,59580,5/3/2022,South,Karnataka,Mysore,Sneakers,3847,63,242361,44150.02196,Online
Best Shoe Place,18959,5/10/2019,North,Punjab,Jalandhar,Heels,4242,54,229068,66258.92486,Online
Urban Trend Outlet,68365,8/2/2022,South,Karnataka,Bengaluru,Boots,1669,42,70098,8209.778701,Online
Exclusive Fashion Company,17588,4/17/2021,South,Karnataka,Bengaluru,Formal Shoes,696,86,59856,9514.257721,Online
Quality Run Hub,34784,1/30/2022,South,Tamil Nadu,Coimbatore,Sneakers,2107,15,31605,6820.670936,Online
Quality Shoe Place,38042,7/18/2021,South,Tamil Nadu,Coimbatore,Sandals,2411,36,86796,19494.02329,Offline
New Step Outlet,56788,1/1/2019,North,Punjab,Jalandhar,Formal Shoes,4168,41,170888,50529.24172,Online
Urban Trend Place,35234,3/31/2021,South,Tamil Nadu,Chennai,Boots,3020,52,157040,44157.24378,Online
Best Fashion Company,45328,2/21/2022,West,Maharashtra,Nagpur,Sandals,2672,52,138944,19673.05051,Offline
Exclusive Step Store,58842,6/5/2019,South,Karnataka,Hubli,Sneakers,3448,83,286184,62279.74764,Online
New Run Store,99541,6/25/2020,East,West Bengal,Kolkata,Sandals,2097,53,111141,25159.78832,Offline
Top Run Store,99097,10/15/2018,North,Punjab,Jalandhar,Sandals,1583,27,42741,9022.564083,Offline
Top Journey Co,48545,6/12/2021,South,Tamil Nadu,Coimbatore,Sneakers,4131,65,268515,66534.83155,Offline
Quality Shoe Boutique,73363,11/15/2022,North,Punjab,Ludhiana,Sandals,4640,26,120640,25393.87954,Online
Reliable Fashion Boutique,44304,2/22/2018,East,West Bengal,Darjeeling,Formal Shoes,4946,20,98920,23513.02153,Offline
Top Trend Mart,49700,10/17/2018,South,Tamil Nadu,Coimbatore,Heels,2264,31,70184,13699.31993,Offline
Urban Walk Mart,78618,3/14/2021,North,Punjab,Amritsar,Heels,4507,51,229857,56355.10172,Offline
New Run Boutique,77711,1/16/2018,North,Punjab,Amritsar,Sneakers,4033,87,350871,74420.31092,Online
Great Shoe Place,99115,12/8/2023,East,West Bengal,Howrah,Sneakers,4767,91,433797,109220.1819,Offline
Reliable Step Place,20641,12/3/2019,West,Maharashtra,Pune,Sneakers,3785,71,268735,37577.40355,Online
Best Fashion Emporium,82971,6/29/2023,South,Tamil Nadu,Madurai,Heels,1300,97,126100,30032.95715,Offline
New Path Store,64747,4/30/2021,South,Karnataka,Hubli,Sneakers,3860,21,81060,13870.68917,Online
New Journey Co,19451,3/15/2023,North,Punjab,Amritsar,Boots,1671,63,105273,21558.24584,Offline
Great Run Outlet,21965,1/18/2022,East,West Bengal,Kolkata,Heels,2516,59,148444,42288.43413,Online
Great Fashion Emporium,56499,2/19/2021,South,Karnataka,Mysore,Heels,703,90,63270,10857.72702,Online
Quality Walk Store,22162,7/14/2019,East,West Bengal,Howrah,Boots,2661,64,170304,37137.91067,Offline
Top Shoe Boutique,70911,12/5/2023,South,Tamil Nadu,Madurai,Sandals,4605,88,405240,81192.90356,Online
Top Journey Co,48545,10/1/2019,South,Tamil Nadu,Chennai,Formal Shoes,739,2,1478,379.0037328,Online
New Path Store,64747,9/18/2021,South,Tamil Nadu,Madurai,Heels,3784,44,166496,34669.45845,Offline
Great Journey Outlet,64642,11/29/2019,South,Karnataka,Mysore,Heels,4258,10,42580,7807.30697,Offline
Best Journey Boutique,77242,7/7/2018,North,Punjab,Amritsar,Sandals,2796,9,25164,6902.37491,Offline
Best Fashion Store,92496,2/28/2018,South,Karnataka,Mysore,Sandals,3571,87,310677,81625.75541,Online
Great Fashion Mart,69107,8/8/2019,North,Punjab,Ludhiana,Heels,4371,40,174840,23608.92333,Online
Great Shoe Place,99115,7/23/2020,East,West Bengal,Kolkata,Boots,4532,17,77044,20994.21153,Online
Great Run Store,43888,1/10/2019,West,Maharashtra,Pune,Boots,2858,45,128610,32499.12978,Online
Reliable Path Store,58471,8/8/2020,South,Karnataka,Mysore,Boots,1625,24,39000,8755.418769,Offline
Reliable Walk Place,14387,5/29/2020,East,West Bengal,Howrah,Heels,1778,11,19558,3755.775105,Offline
Prime Footwear Place,21941,4/14/2022,South,Karnataka,Bengaluru,Boots,3059,70,214130,21610.82691,Online
Great Footwear Company,40913,8/29/2019,West,Maharashtra,Pune,Heels,2122,46,97612,22794.58345,Online
Urban Walk Place,23524,11/14/2022,South,Karnataka,Mysore,Sandals,2672,75,200400,39317.95582,Offline
Great Shoe Store,94952,2/1/2022,East,West Bengal,Kolkata,Sneakers,712,49,34888,10082.5002,Online
Great Shoe Boutique,54977,4/3/2021,North,Punjab,Jalandhar,Boots,1486,33,49038,13699.49927,Online
Urban Walk Mart,78618,3/30/2021,North,Punjab,Jalandhar,Heels,2985,64,191040,43121.12262,Online
Great Footwear Company,40913,1/30/2023,West,Maharashtra,Nagpur,Formal Shoes,3379,54,182466,29961.14339,Offline
